,word,meaning,example
648,collude,"to work together secretly especially in order to do something illegal or dishonest : conspire, plot","It was arithmetically possible, too, for a handful of senators … to collude with the president to approve a treaty betraying some vital interest to a foreign power."
649,comity,friendly social atmosphere : social harmony,group activities promoting comity
650,comity,a loose widespread community based on common social institutions,the comity of civilization
651,comity,comity of nations,trans-Atlantic comity
652,comity,the informal and voluntary recognition by courts of one jurisdiction of the laws and judicial decisions of another,
653,comity,avoidance of proselytizing members of another religious denomination,
654,commence,to enter upon : begin,commence proceedings
655,commence,to have or make a beginning : start,
656,commence,to take a degree at a university,
657,commensurate,"corresponding in size, extent, amount, or degree : proportionate",was given a job commensurate with her abilities
658,commensurate,equal in measure or extent : coextensive,lived a life commensurate with the early years of the republic
659,commensurate,commensurable sense 1,
660,commiserate,to feel or express sympathy : condole,commiserates with them on their loss
661,commiserate,to feel or express sorrow or compassion for,
662,compelling,that compels: such as,
663,compelling,forceful,a compelling personality
664,compelling,demanding attention,for compelling reasons
665,compelling,convincing,no compelling evidence
666,competent,proper or rightly pertinent,
667,competent,having requisite or adequate ability or qualities : fit,a competent teacher
668,competent,legally qualified or adequate,a competent witness
669,competent,having the capacity to function or develop in a particular way: such as,
670,competent,having the capacity to initiate an immune response following exposure to an antigen,antibody production by immunologically competent B cells
671,competent,capable of taking up exogenous DNA (as from a plasmid) during genetic transformation,natural and artificially-produced competent cells
672,complacent,marked by self-satisfaction especially when accompanied by unawareness of actual dangers or deficiencies : marked by complacency : self-satisfied,a complacent smile
673,complacent,complaisant sense 1,complacent flattery
674,complacent,unconcerned,
675,complementary,serving to fill out or complete,
676,complementary,mutually supplying each other's lack,
677,complementary,relating to or constituting one of a pair of contrasting colors that produce a neutral color when combined in suitable proportions,
678,complementary,being complements of each other,complementary acute angles
679,complementary,characterized by the capacity for precise pairing of purine and pyrimidine bases between strands of DNA and sometimes RNA such that the structure of one strand determines the other,
680,complementary,"of, relating to, or based on complementary medicine",
681,comply,"to conform, submit, or adapt (as to a regulation or to another's wishes) as required or requested",comply with federal law
682,comply,to be ceremoniously courteous,
683,compromise,settlement of differences by arbitration or by consent reached by mutual concessions,
684,compromise,something intermediate between or blending qualities of two different things,
685,compromise,a concession to something derogatory or prejudicial,a compromise of principles
686,compromise,to come to agreement by mutual concession,The two sides were unwilling to compromise.
687,compromise,to find or follow a way between extremes,
688,compromise,to make a shameful or disreputable concession,wouldn't compromise with their principles
689,compromise,to reveal or expose to an unauthorized person and especially to an enemy,Confidential information was compromised.
690,compromise,to cause the impairment of,illnesses that can seriously compromise the immune system
691,compromise,"to expose to suspicion, discredit, or mischief",His reputation has been compromised.
692,compromise,to adjust or settle by mutual concessions,An arbiter was brought in to compromise their differences.
693,compromise,to bind by mutual agreement,
694,conciliatory,intended to gain goodwill or favor or to reduce hostility : tending or intended to conciliate,speaking in a conciliatory tone
695,conclusive,"of, relating to, or being a conclusion",
696,conclusive,putting an end to debate or question especially by reason of irrefutability,The results were not conclusive.
697,condone,"to regard or treat (something bad or blameworthy) as acceptable, forgivable, or harmless",a government accused of condoning racism
698,conducive,tending to promote or assist,an atmosphere conducive to education
699,conflagration,fire,
700,conflagration,"conflict, war",The conflagration between the two countries lasted for ten years.
701,confound,to throw (a person) into confusion or perplexity,tactics to confound the enemy
702,confound,refute,sought to confound his arguments
703,confound,to put to shame : discomfit,a performance that confounded the critics
704,confound,damn,
705,confound,to fail to discern differences between : mix up,They implored Charles not to confound the innocent with the guilty …
706,confound,to increase the confusion of,
707,confound,"baffle, frustrate",Conferences … are not for accomplishment but to confound knavish tricks.
708,confound,to bring to ruin : destroy,
709,confound,"consume, waste",
710,congenial,pleasant,
711,congenial,"sociable, genial",a congenial host
712,congenial,existing or associated together harmoniously,
713,congenial,"having the same nature, disposition, or tastes : kindred",congenial companions
714,conjectural,of the nature of or involving or based on conjecture,"Without evidence, his conclusions are only conjectural."
715,conjectural,given to conjectures,
716,connoisseur,expert,
717,connoisseur,one who enjoys with discrimination and appreciation of subtleties,a connoisseur of fine wines
718,consensus,general agreement : unanimity,
719,consensus,the judgment arrived at by most of those concerned,the consensus was to go ahead
720,consensus,group solidarity in sentiment and belief,
721,conspicuous,obvious to the eye or mind,conspicuous changes
722,conspicuous,attracting attention : striking,a conspicuous success
723,conspicuous,marked by a noticeable violation of good taste,
724,conspire,"plot, contrive",
725,conspire,to join in a secret agreement to do an unlawful or wrongful act or an act which becomes unlawful as a result of the secret agreement,accused of conspiring to overthrow the government
726,conspire,scheme,
727,conspire,to act in harmony toward a common end,Circumstances conspired to defeat his efforts.
728,construe,to analyze the arrangement and connection of words in (a sentence or sentence part),construe this Latin sentence by Cicero
729,construe,to understand or explain the sense or intention of usually in a particular way or with respect to a given set of circumstances,construed my actions as hostile
730,construe,to construe a sentence or sentence part especially in connection with translating,
731,construe,an act or the result of construing especially by piecemeal translation,
732,contempt,the act of despising : the state of mind of one who despises : disdain,glared at him in contempt
733,contempt,lack of respect or reverence for something,acting with contempt for public safety
734,contempt,the state of being despised,
735,contempt,"willful disobedience to or open disrespect of a court, judge, or legislative body",contempt of court
736,contend,to strive or vie in contest or rivalry or against difficulties : struggle,contended with the problems of municipal government
737,contend,to strive in debate : argue,
738,contend,"maintain, assert",contended that he was right
739,contend,to struggle for : contest,"She contended every point, objected to every request …"
740,contentious,likely to cause disagreement or argument,a contentious issue
741,contentious,exhibiting an often perverse and wearisome tendency to quarrels and disputes,a man of a most contentious nature
742,contravene,to go or act contrary to : violate,contravene a law
743,contravene,to oppose in argument : contradict,contravene a proposition
744,contretemps,an inopportune or embarrassing occurrence or situation,
745,contretemps,"dispute, argument",
746,contrite,"feeling or showing sorrow and remorse for improper or objectionable behavior, actions, etc.",a contrite criminal
747,convalescent,to recover health and strength gradually after sickness or weakness,He is convalescing from influenza.
748,conventional,formed by agreement or compact,
749,conventional,"according with, sanctioned by, or based on convention",conventional spelling
750,conventional,lacking originality or individuality : trite,Most of her books are conventional detective stories.
751,conventional,"ordinary, commonplace",conventional medications
752,conventional,nonnuclear sense 1,conventional warfare
753,conventional,according with a mode of artistic representation that simplifies or provides symbols or substitutes for natural forms,
754,conventional,of traditional design,
755,conventional,"of, resembling, or relating to a convention, assembly, or public meeting",
756,conviction,the act or process of finding a person guilty of a crime especially in a court of law,
757,conviction,a strong persuasion or belief,
758,conviction,the state of being convinced,
759,conviction,the act of convincing a person of error or of compelling the admission of a truth,
760,conviction,the state of being convinced of error or compelled to admit the truth,
761,convivial,"relating to, occupied with, or fond of feasting, drinking, and good company",a convivial host
762,convoluted,having convolutions,a ram with convoluted horns
763,convoluted,"involved, intricate",a convoluted argument
764,copious,yielding something abundantly,a copious harvest
765,copious,plentiful in number,copious references to other writers
766,copious,"full of thought, information, or matter","… Shakespeare, whose soul was so copious …"
767,copious,"profuse or exuberant in words, expression, or style",a copious talker
768,copious,present in large quantity : taking place on a large scale,copious weeping
769,cordial,"showing or marked by warm and often hearty friendliness, favor, or approval",a cordial welcome
770,cordial,sincerely or deeply felt,a cordial dislike for each other
771,cordial,"tending to revive, cheer, or invigorate",
772,cordial,of or relating to the heart : vital,
773,cordial,liqueur,
774,cordial,a stimulating medicine or drink,
775,corporeal,"having, consisting of, or relating to a physical material body: such as",
776,corporeal,not spiritual,
777,corporeal,not immaterial or intangible : substantial,corporeal property
778,corporeal,corporal,
779,correlate,either of two things so related that one directly implies or is complementary to the other (such as husband and wife),brain size as a correlate of intelligence
780,correlate,"a phenomenon that accompanies another phenomenon, is usually parallel to it, and is related in some way to it",
781,correlate,to bear reciprocal or mutual relations : correspond,"If two things correlate, a change in one thing results in a similar or opposite change in the other thing."
782,correlate,to establish a mutual or reciprocal relation between,correlate activities in the lab and the field
783,correlate,to show correlation or a causal relationship between,There is no evidence correlating the cracking of one's knuckles and development of osteoarthritis.
784,correlate,to present or set forth so as to show relationship,
785,corroborate,to support with evidence or authority : make more certain,
786,cosmopolitan,having wide international sophistication : worldly,Greater cultural diversity has led to a more cosmopolitan attitude among the town's younger generations.
787,cosmopolitan,"composed of persons, constituents, or elements from all or many parts of the world",a city with a cosmopolitan population
788,cosmopolitan,having worldwide rather than limited or provincial scope or bearing,
789,cosmopolitan,found in most parts of the world and under varied ecological conditions,a cosmopolitan herb
790,cosmopolitan,cosmopolite,
791,cosmopolitan,"a cocktail made of vodka, orange-flavored liqueur, lime juice, and cranberry juice",
792,countenance,"look, expression",
793,countenance,mental composure,
794,countenance,calm expression,He managed to keep his countenance through the ordeal.
795,countenance,"face, visage",
796,countenance,bearing or expression that offers approval or sanction : moral support,
797,countenance,"aspect, semblance",
798,countenance,pretense,
799,countenance,"bearing, demeanor",
800,countenance,to extend approval or toleration to : sanction,refused to countenance any changes in the policy
801,covert,"not openly shown, engaged in, or avowed : veiled",a covert alliance
802,covert,covered over : sheltered,covert places in the woods
803,covert,hiding place : shelter,
804,covert,a thicket affording cover for game,
805,covert,a masking or concealing device,
806,covert,a feather covering the bases of the quills of the wings and tail of a bird   see wing illustration,
807,covert,a firm durable twilled sometimes waterproofed cloth usually of mixed-color yarns,
808,covet,to wish for earnestly,covet an award
809,covet,to desire (what belongs to another) inordinately or culpably,The king's brother coveted the throne.
810,covet,to feel inordinate desire for what belongs to another,
811,coy,"marked by cute, coquettish, or artful playfulness",using coy tricks to attract attention
812,coy,shrinking from contact or familiarity,
813,coy,showing reluctance to make a definite commitment,a coy response
814,coy,caress,
815,coy,to act coyly (see coy entry 1),
816,craven,lacking the least bit of courage : contemptibly fainthearted,… craven mercenaries who would not fight …
817,craven,"defeated, vanquished",
818,credible,offering reasonable grounds for being believed,a credible account of the accident
819,credible,of sufficient capability to be militarily effective,a credible deterrent
820,crescendo,a gradual increase,a crescendo of excitement
821,crescendo,the peak of a gradual increase : climax,… complaints about stifling smog conditions reach a crescendo …
822,crescendo,a crescendo musical passage,
823,crescendo,with an increase in volume,
824,crestfallen,having a drooping crest or hanging head,
825,crestfallen,feeling shame or humiliation : dejected,"After losing the playoff game, the team was crestfallen."
826,croon,"bellow, boom",
827,croon,to sing or speak in a gentle murmuring manner,The mother crooned as she rocked the baby.
828,croon,"to sing (something, such as a popular song or a lullaby) in a crooning manner",
829,cumbersome,unwieldy because of heaviness and bulk,a cumbersome package
830,cumbersome,slow-moving : ponderous,cumbersome administrative procedures
831,cumbersome,"burdensome, troublesome",
832,cunning,dexterous or crafty in the use of special resources (such as skill or knowledge) or in attaining an end,a cunning plotter
833,cunning,characterized by wiliness and trickery,cunning schemes
834,cunning,prettily appealing : cute,a cunning little kitten
835,cunning,displaying keen insight,a cunning observation
836,cunning,"dexterous skill and subtlety (as in inventing, devising, or executing)",
837,cunning,"craft, slyness",
838,cunning,"knowledge, learning",
839,cunning,magic art,
840,curb,an edging (as of concrete) built along a street to form part of a gutter,They sat on the curb eating their ice cream.
841,curb,a market for trading in securities not listed on a stock exchange,
842,curb,a raised edge or margin to strengthen or confine,
843,curb,"an enclosing frame, border, or edging",
844,curb,"check, restraint",a price curb
845,curb,a bit that exerts severe pressure on a horse's jaws,
846,curb,to furnish with a curb,
847,curb,to check or control with or as if with a curb,trying to curb her curiosity
848,curb,to lead (a dog) to a suitable place (such as a gutter) for defecation,
849,curmudgeon,"a crusty, ill-tempered, and usually old man",
850,curmudgeon,miser,
851,cursory,rapidly and often superficially performed or produced : hasty,a cursory glance
852,curtail,to make less by or as if by cutting off or away some part,curtail the power of the executive branch
853,daunting,tending to overwhelm or intimidate,a daunting task
854,dawdle,to spend time idly,
855,dawdle,to move lackadaisically,
856,dawdle,to spend fruitlessly or lackadaisically,dawdled the day away
857,dearth,scarcity that makes dear,
858,dearth,an inadequate supply : lack,a dearth of evidence
859,debilitating,causing serious impairment of strength or ability to function,debilitating pain
860,debunk,to expose the sham (see sham entry 1 sense 2) or falseness of,debunk a legend
861,decadent,characterized by or appealing to self-indulgence,a rich and decadent dessert
862,decadent,marked by decay or decline,an increasingly decadent society
863,decadent,"of, relating to, or having the characteristics of a group of late 19th century French and English writers tending toward artificial and unconventional subjects and subtilized style : of, relating to, or having the characteristics of the decadents (see decadent entry 2 sense 1)",
864,decadent,one of a group of late 19th century French and English writers tending toward artificial and unconventional subjects and subtilized style,
865,decadent,one that is marked by decay or decline : one that is decadent (see decadent entry 1 sense 2),
866,decipher,decode sense 1a,decipher a secret message
867,decipher,depict,with her majesty's name deciphered in gold letters
868,decipher,to make out the meaning of despite indistinctness or obscurity,trying to decipher her handwriting
869,decipher,to interpret the meaning of,decipher the poem
870,decorum,literary and dramatic propriety : fitness,according to strict neoclassic decorum only the aristocracy had the right to appear in tragedy
871,decorum,propriety and good taste in conduct or appearance,strict in her notions of decorum
872,decorum,orderliness,the organization's decorum has rarely been shaken
873,decorum,the conventions of polite behavior,the established sobrieties and decorums of English life
874,decry,"to depreciate (something, such as a coin) officially or publicly",
875,decry,to express strong disapproval of,decry the emphasis on sex
876,deference,respect and esteem due a superior or an elder,
877,deflect,to turn (something) aside especially from a straight course or fixed direction,armor that deflects bullets
878,deflect,to turn aside : deviate,the shot deflected off the goalie's shoulder pad
879,deft,characterized by facility and skill,the photographer's deft use of lighting
880,deify,to make a god of,
881,deify,to take as an object of worship,
882,deify,to glorify as of supreme worth,
883,deleterious,harmful often in a subtle or unexpected way,deleterious effects
884,deliberate,to think about or discuss issues and decisions carefully,The jury deliberated for several days before reaching a verdict.
885,deliberate,to think about deliberately and often with formal discussion before reaching a decision,deliberate the question
886,deliberate,characterized by or resulting from careful and thorough consideration,a deliberate decision
887,deliberate,characterized by awareness of the consequences,a deliberate exaggeration
888,deliberate,"slow, unhurried, and steady as though allowing time for decision on each individual action involved",The jeweler worked at a deliberate pace.
889,delineate,"to describe, portray, or set forth with accuracy or in detail",delineate a character in the story
890,delineate,to indicate or represent by drawn or painted lines,
891,delineate,to mark the outline of,lights delineating the narrow streets
892,delusion,something that is falsely or delusively believed or propagated,under the delusion that they will finish on schedule
893,delusion,a persistent false psychotic belief regarding the self or persons or objects outside the self that is maintained despite indisputable evidence to the contrary,the delusion that someone was out to hurt him
894,delusion,the act of tricking or deceiving someone : the state of being deluded,
895,demur,to take exception : object,
896,demur,to file a demurrer,
897,demur,"delay, hesitate",
898,demur,the act or an instance of objecting : protest,
899,demur,hesitation (as in doing or accepting) usually based on doubt of the acceptability of something offered or proposed,
900,denounce,to pronounce especially publicly to be blameworthy or evil,they denounced him as a bigot
901,denounce,proclaim,
902,denounce,to announce threateningly,
903,denounce,to inform (see inform sense intransitive 1) against : accuse,was denounced to the authorities
904,denounce,portend,
905,denounce,"to announce formally the termination of (something, such as a treaty)",denounced the arrangement with their former ally
906,deportment,the manner in which one conducts (see conduct entry 1 sense 2) oneself : behavior,were instructed in proper dress and deportment
907,depose,to remove from a throne or other high position,plotting to depose the king
908,depose,to put down : deposit,deposing the sacrament in a carved recess
909,depose,to testify to under oath or by affidavit,deposed before the court that he had seen the defendant enter the building
910,depose,"affirm, assert",
911,depose,to take testimony (see testimony sense 1a) from especially by deposition,depose a witness
912,depose,to bear witness,
913,depravity,a corrupt act or practice,the depravities of war
914,depravity,"the quality or state of being corrupt, evil, or perverted : the quality or state of being depraved",
915,deprecate,to express disapproval of,deprecates such attempts at humor
916,deprecate,play down : make little of,
917,deprecate,"belittle, disparage",
918,deprecate,"to withdraw official support for or discourage the use of (something, such as a software product) in favor of a newer or better alternative",
919,deprecate,to seek to avert,
920,deprecate,"to pray against (something, such as an evil)",
921,deride,to laugh at or insult contemptuously,got derided by a carnival clown
922,deride,to subject to usually bitter or contemptuous ridicule or criticism,politicians deriding their opponents
923,derivative,a word formed from another word or base : a word formed by derivation,"""pointy,"" ""pointed,"" and other derivatives of ""point"""
924,derivative,something derived,
925,derivative,the limit of the ratio of the change in a function to the corresponding change in its independent variable as the latter change approaches zero,
926,derivative,a chemical substance related structurally to another substance and theoretically derivable from it,
927,derivative,a substance that can be made from another substance,Petroleum is a derivative of coal tar.
928,derivative,a contract or security (see security sense 3) that derives its value from that of an underlying asset (such as another security) or from the value of a rate (as of interest or currency exchange) or index (see index entry 1 sense 1b) of asset value (such as a stock index),
929,derivative,formed from another word or base : formed by derivation,a derivative word
930,derivative,having parts that originate from another source : made up of or marked by derived elements,a derivative philosophy
931,derivative,lacking originality : banal,a derivative performance
932,desiccate,to dry up,the desiccated land
933,desiccate,to preserve (a food) by drying : dehydrate,desiccated coconut
934,desiccate,to drain of emotional or intellectual vitality,… a charming little romance … not desiccated and compressed within the pages of a book
935,desiccate,to become dried up,leaves desiccating in winter
936,despotic,"of, relating to, or characteristic of a despot",a despotic government
937,desultory,"marked by lack of definite plan, regularity, or purpose",
938,desultory,not connected with the main subject,desultory comments
939,desultory,"disappointing in progress, performance, or quality",a desultory fifth place finish
940,detente,the relaxation of strained relations or tensions (as between nations),diplomats brokering a détente
941,detente,a period of détente,the beginning of a détente
942,deviate,"to stray especially from a standard, principle, or topic",deviating from the subject
943,deviate,to depart from an established course or norm,a flight forced by weather to deviate south
944,deviate,to cause to turn out of a previous course,"he would deviate rivers, turn the scorched plains … into fertile pastures"
945,deviate,one that deviates from a norm,
946,deviate,a statistical variable that gives the deviation (see deviation sense b) of another variable from a fixed value (such as the mean),
947,deviate,departing significantly from the behavioral norms (see norm sense 2) of a particular society,deviate behavior
948,diatribe,a bitter and abusive speech or piece of writing,
949,diatribe,ironic or satirical criticism,
950,diatribe,a prolonged discourse,
951,dichotomy,a division into two especially mutually exclusive or contradictory groups or entities,the dichotomy between theory and practice
952,dichotomy,something with seemingly contradictory qualities,"it's a dichotomy, this opulent Ritz-style luxury in a place that fronts on a boat harbor"
953,dichotomy,the phase of the moon or an inferior planet in which half its disk appears illuminated,
954,dichotomy,bifurcation,
955,dichotomy,a system of branching in which the main axis forks repeatedly into two branches,
956,dichotomy,branching of an ancestral line into two equal diverging branches,
957,dictate,to utter words to be transcribed : to give dictation,dictate for the stenographer
958,dictate,to speak or act domineeringly : prescribe,resents being dictated to
959,dictate,to speak or read for a person to transcribe or for a machine to record,dictating a letter to her secretary
960,dictate,to issue as an order,
961,dictate,"to impose, pronounce, or specify authoritatively",dictate the terms of surrender
962,dictate,to require or determine necessarily,injuries dictated the choice of players
963,dictate,"an authoritative rule, prescription, or injunction",the dictates of the party
964,dictate,a ruling principle,according to the dictates of your conscience
965,dictate,a command by one in authority,papal dictates
966,didactic,designed or intended to teach,"The first part of the book is more didactic, with lengthy descriptions of how the operating system actually works."
967,didactic,intended to convey instruction and information in addition to serving another purpose (such as pleasure and entertainment),didactic poetry/fiction
968,didactic,making moral observations : intended to teach proper or moral behavior,"Never didactic, Martin gently nudges readers toward open-mindedness at the prospect of eating bugs: ""Why not make the best of what we have the most of?"""
969,diffident,hesitant in acting or speaking through lack of self-confidence,
970,diffident,"reserved, unassertive",
971,diffident,distrustful,
972,diffuse,being at once verbose and ill-organized,a diffuse report from the scene of the earthquake
973,diffuse,not concentrated or localized,diffuse lighting
974,diffuse,to pour out and permit or cause to spread freely,a drop of blue dye diffused in a glass of water
975,diffuse,"extend, scatter",diffusing their ideas throughout the continent
976,diffuse,to spread thinly or wastefully,a government in which power is diffused
977,diffuse,to subject to diffusion (see diffusion sense 3),
978,diffuse,to spread out or become transmitted especially by contact,The civilization diffused westward.
979,diffuse,to undergo diffusion,heat from the radiator diffusing throughout the room
980,digression,the act or an instance of leaving the main subject in an extended written or verbal expression of thought : the act or an instance of digressing in a discourse or other usually organized literary work,"Every place Hamilton, his parents, or his wife visited over a century's time is described at length; everyone he met merits at least a minor biographical digression."
981,digression,a going aside,
982,dilatory,tending or intended to cause delay,dilatory tactics
983,dilatory,characterized by procrastination : tardy,dilatory in paying bills
984,dilettante,a person having a superficial interest in an art or a branch of knowledge : dabbler,Mr. Carroll often criticizes the superficial lives of the dilettantes … who mingle in New York.
985,dilettante,an admirer or lover of the arts,"It was unparalleled, undreamed-of, that I, Humphrey Van Weyden, a scholar and a dilettante, if you please, in things artistic and literary, should be lying here on a Bering Sea seal-hunting schooner."
986,diminutive,"a word, affix, or name usually indicating small size : a diminutive (see diminutive entry 2 sense 1) word, affix, or name",
987,diminutive,one that is notably small : a diminutive individual,
988,diminutive,"indicating small size and sometimes the state or quality of being familiarly known, lovable, pitiable, or contemptible",
989,diminutive,exceptionally or notably small : tiny,a diminutive performer
990,dirge,a song or hymn of grief or lamentation,
991,dirge,"a slow, solemn, and mournful piece of music",
992,dirge,something (such as a poem) that has the qualities of a dirge,
993,discernible,able to be perceived by a sense (such as sight or smell) or by the mind : capable of being discerned,a discernible difference
994,discomfit,to put into a state of perplexity and embarrassment : disconcert,was discomfited by the question
995,discomfit,to frustrate the plans of : thwart,discomfit our foes
996,discomfit,to defeat in battle,the ground … strewn with the discomfited
997,discomfit,"the state of being confused, embarrassed, or upset : discomfiture",
998,discount,a reduction made from the gross (see gross entry 1 sense 3b) amount or value of something: such as,
999,discount,a reduction made from a regular or list price,offering customers a ten percent discount
1000,discount,a proportionate deduction from a debt account usually made for cash or prompt payment,
1001,discount,a deduction made for interest in advancing money upon or purchasing a bill or note not due,
1002,discount,the act or practice of discounting (see discount entry 2),
1003,discount,a deduction taken or allowance made,
1004,discount,to make a deduction (see deduction sense 1a) from usually for cash or prompt payment,a discounted price
1005,discount,to sell or offer for sale at a discount (see discount entry 1 sense 1),discounting last year's model
1006,discount,to lend money on after deducting the discount,
1007,discount,to leave out of account or consideration : disregard,discount the possibility that the situation may worsen
1008,discount,to minimize the importance of,shouldn't discount his contributions
1009,discount,to make allowance (see allowance entry 1 sense 2) for bias or exaggeration in,discount most of their claims
1010,discount,to view with doubt,discount a rumor
1011,discount,"to anticipate or take into account (something, such as a future event) in present calculations or planning",
1012,discount,to give or make discounts (see discount entry 1),stores planning to discount after the holidays
1013,discount,selling goods or services for less than their regular or list price : selling goods or services at a discount (see discount entry 1 sense 1a(1)),discount stores
1014,discount,offered or sold at a discount,discount tickets
1015,discount,reflecting a discount,discount prices
1016,discreet,having or showing discernment or good judgment in conduct and especially in speech : prudent,
1017,discreet,"unpretentious, modest",
1018,discreet,"unobtrusive, unnoticeable",followed at a discreet distance
1019,discrepancy,the quality or state of disagreeing or being at variance,
1020,discrepancy,an instance of disagreeing or being at variance,
1021,disdain,a feeling of contempt for someone or something regarded as unworthy or inferior : scorn,
1022,disdain,to look on with scorn,disdained him as a coward
1023,disdain,to refuse or abstain from because of a feeling of contempt or scorn,disdained to answer their questions
1024,disdain,to treat as beneath one's notice or dignity,
1025,disentangle,to free from entanglement : unravel,
1026,disentangle,to become disentangled,
1027,disingenuous,lacking in candor,
1028,disinterested,not having the mind or feelings engaged (see engaged sense 1) : not interested,
1029,disinterested,no longer interested,
1030,disinterested,free from selfish motive or interest (see interest entry 1 sense 1a) : unbiased,a disinterested decision
1031,disparate,markedly distinct in quality or character,
1032,disparate,containing or made up of fundamentally different and often incongruous elements,
1033,dispense,to divide and share out according to a plan : to deal out in portions,dispense food among the needy
1034,dispense,administer,dispense justice
1035,dispense,"to exempt from a law or release from a vow, oath, or impediment : to give dispensation (see dispensation sense 2a) to : exempt",may dispense students from this requirement
1036,dispense,to prepare and distribute (medication),dispensing pills to their patients
1037,dispense,to grant dispensation,
1038,disperse,to cause to break up (see break up sense 1a),police dispersed the crowd
1039,disperse,to cause to become spread widely,disperse the troops
1040,disperse,to cause to evaporate or vanish,sunlight dispersing the mist
1041,disperse,to spread or distribute from a fixed or constant source: such as,
1042,disperse,disseminate,disperse the news
1043,disperse,to subject to dispersion (see dispersion sense 4),disperse light
1044,disperse,"to distribute (something, such as fine particles) more or less evenly throughout a medium",
1045,disperse,to break up in random fashion,the crowd dispersed on request
1046,disperse,to become dispersed,the particles dispersed throughout the mixture
1047,disperse,"dissipate, vanish",the fog dispersed toward morning
1048,dissemble,to hide under a false appearance,dissembling the facts
1049,dissemble,to put on the appearance of : simulate,She lay down and dissembled sleep.
1050,dissemble,"to put on a false appearance : conceal facts, intentions, or feelings under some pretense",He had dissembled about the risks involved.
1051,disseminate,to spread abroad as though sowing seed,disseminate ideas
1052,disseminate,to disperse throughout,
1053,dissent,to withhold assent or approval,
1054,dissent,to differ in opinion,Three of the justices dissented from the majority opinion.
1055,dissent,difference of opinion,heard voices of dissent at the meeting
1056,dissent,religious nonconformity,permitted no dissent from church teachings
1057,dissent,a justice's nonconcurrence with a decision of the majority,cited an earlier case in her dissent
1058,dissent,political opposition to a government or its policies,attempts to suppress domestic dissent
1059,dissident,"disagreeing especially with an established religious or political system, organization, or belief",dissident elements in the armed forces
1060,distend,extend,
1061,distend,"to enlarge, expand, or stretch out (as from internal pressure) : swell",a distended abdomen
1062,distend,"to become enlarged, expanded, or stretched out",causing the stomach to distend
1063,distill,"to let fall, exude, or precipitate (see precipitate entry 1 sense 3b) in drops or in a wet mist",
1064,distill,to purify or transform (a liquid) by successive evaporation and condensation : to subject to or transform by distillation,distill molasses into rum
1065,distill,to obtain by or as if by distillation,distill whiskey
1066,distill,to extract the essence of : concentrate,distill the experience into a poem
1067,distill,to fall or materialize in drops or in a fine moisture,
1068,distill,to appear slowly or in small quantities at a time,
1069,distill,to undergo distillation,
1070,distill,to perform distillation,
1071,distort,to twist (see twist entry 1 sense 3b) out of the true meaning or proportion : to alter to give a false or unnatural picture or account,distorted the facts
1072,distort,"to twist out of a natural, normal, or original shape or condition",a face distorted by pain
1073,distort,pervert,distort justice
1074,distort,to become distorted,Heat caused the wax figures to distort.
1075,distressed,"of, relating to, or experiencing economic decline or difficulty",federal grants for distressed cities
1076,divergent,moving or extending in different directions from a common point : diverging from each other,divergent paths
1077,divergent,differing from each other or from a standard,the divergent interests of capital and labor
1078,divergent,relating to or being an infinite (see infinite entry 1 sense 4c) sequence that does not have a limit or an infinite series whose partial sums do not have a limit,
1079,divergent,causing rays (see ray entry 2 sense 1b) to draw apart from a common center : causing divergence of rays,a divergent lens
1080,divorced,the action or an instance of legally dissolving (see dissolve entry 1 sense 1d) a marriage,
1081,divorced,"separation, severance",divorce of the secular and the spiritual
1082,divorced,to legally dissolve one's marriage with : to end marriage with (one's spouse) by divorce (see divorce entry 1 sense 1),She divorced her husband.
1083,divorced,to dissolve the marriage contract between,They were divorced last year.
1084,divorced,to make or keep separate : separate,divorce church from state
1085,divorced,to obtain a divorce,They divorced two years later.
1086,divorced,a divorced man,
1087,divulge,"to make known (something, such as a confidence or secret)",refused to divulge the name of her informant
1088,divulge,to make public : proclaim,
1089,doctrinaire,stubbornly or excessively devoted to a doctrine or theory without regard to practical considerations,"… tended to stress uncritical, doctrinaire acceptance of the interpretations of law …"
1090,doctrinaire,one who attempts to put into effect an abstract doctrine or theory with little or no regard for practical difficulties,
1091,documentary,being or consisting of documents : contained or certified in writing,documentary evidence
1092,documentary,"of, relating to, or employing documentation (see documentation sense 2) in literature or art",
1093,documentary,a presentation (such as a film or novel) expressing or dealing with factual events : a documentary presentation,
1094,dogged,marked by stubborn determination,a dogged competitor
1095,dogmatic,characterized by or given to the expression of opinions very strongly or positively as if they were facts,a dogmatic critic
1096,dogmatic,of or relating to dogma (see dogma),
1097,dowdy,not neat or becoming in appearance : shabby,a dowdy old hat
1098,dowdy,lacking smartness or taste,a dowdy room
1099,dowdy,old-fashioned,a dowdy institution
1100,dowdy,a dowdy woman,
1101,dowdy,pandowdy,
1102,droll,"having a humorous, whimsical, or odd quality",
1103,droll,"an amusing person : jester, comedian",
1104,droll,"to make fun : jest, sport",
1105,dubious,unsettled in opinion : doubtful,I was dubious about the plan.
1106,dubious,giving rise to uncertainty: such as,
1107,dubious,of doubtful promise or outcome,a dubious plan
1108,dubious,questionable or suspect as to true nature or quality,the practice is of dubious legality
1109,dupe,one that is easily deceived or cheated : fool,
